ID    | TIMESTAMP               | LEVEL    | (UID:)HOST:PORT           | MESSAGE
1     | 2024-03-03 11:47:09,251 | DEBUG    |                           | Scrapli factory initialized
2     | 2024-03-03 11:47:09,252 | INFO     |                           | Driver '<class 'scrapli.driver.core.cisco_iosxe.sync_driver.IOSXEDriver'>' selected from scrapli core drivers
3     | 2024-03-03 11:47:09,252 | DEBUG    | 172.20.128.89:22          | load core transport requested
4     | 2024-03-03 11:47:09,364 | DEBUG    | 172.20.128.89:22          | core transport 'system' loaded successfully
5     | 2024-03-03 11:47:09,365 | DEBUG    | 172.20.128.89:22          | generating combined network comms prompt pattern
6     | 2024-03-03 11:47:09,365 | DEBUG    | 172.20.128.89:22          | setting 'comms_prompt_pattern' value to '(^[\w.\-@/:]{1,63}>$)|(^[\w.\-@/:]{1,63}#$)|(^[\w.\-@/:]{1,63}\([\w.\-@/:+]{0,32}\)#$)|(^([\w.\-@/+>:]+\(tcl\)[>#]|\+>)$)'
7     | 2024-03-03 11:47:09,366 | INFO     | 172.20.128.89:22          | opening connection to '172.20.128.89' on port '22'
8     | 2024-03-03 11:47:09,366 | DEBUG    | 172.20.128.89:22          | opening transport connection to '172.20.128.89' on port '22'
9     | 2024-03-03 11:47:09,366 | DEBUG    | 172.20.128.89:22          | created transport 'open_cmd': '['ssh', '172.20.128.89', '-p', '22', '-o', 'ConnectTimeout=15', '-o', 'ServerAliveInterval=30', '-l', 'cisco', '-o', 'StrictHostKeyChecking=no', '-o', 'UserKnownHostsFile=/dev/null', '-F', '/dev/null']'
10    | 2024-03-03 11:47:09,451 | DEBUG    | 172.20.128.89:22          | transport connection to '172.20.128.89' on port '22' opened successfully
11    | 2024-03-03 11:47:09,452 | DEBUG    | 172.20.128.89:22          | attempting in channel ssh authentication
12    | 2024-03-03 11:47:09,888 | DEBUG    | 172.20.128.89:22          | read : b"Warning: Permanently added '172.20.128.89' (RSA) to the list of known hosts.\nPassword: "
13    | 2024-03-03 11:47:12,190 | DEBUG    | 172.20.128.89:22          | write: REDACTED
14    | 2024-03-03 11:47:12,191 | DEBUG    | 172.20.128.89:22          | write: '\n'
15    | 2024-03-03 11:47:12,192 | DEBUG    | 172.20.128.89:22          | read : b'\n\n\n\nLEAF1#'
16    | 2024-03-03 11:47:12,302 | DEBUG    | 172.20.128.89:22          | write: '\n'
17    | 2024-03-03 11:47:12,339 | DEBUG    | 172.20.128.89:22          | read : b'\nLEAF1#'
18    | 2024-03-03 11:47:12,339 | INFO     | 172.20.128.89:22          | attempting to acquire 'privilege_exec' privilege level
19    | 2024-03-03 11:47:12,341 | DEBUG    | 172.20.128.89:22          | determined current privilege level is one of '['privilege_exec']'
20    | 2024-03-03 11:47:12,341 | DEBUG    | 172.20.128.89:22          | determined current privilege level is target privilege level, no action needed
21    | 2024-03-03 11:47:12,342 | INFO     | 172.20.128.89:22          | sending channel input: terminal length 0; strip_prompt: True; eager: False
22    | 2024-03-03 11:47:12,342 | DEBUG    | 172.20.128.89:22          | write: 'terminal length 0'
23    | 2024-03-03 11:47:12,378 | DEBUG    | 172.20.128.89:22          | read : b'terminal length 0'
24    | 2024-03-03 11:47:12,401 | DEBUG    | 172.20.128.89:22          | write: '\n'
25    | 2024-03-03 11:47:12,439 | DEBUG    | 172.20.128.89:22          | read : b'\nLEAF1#'
26    | 2024-03-03 11:47:12,440 | INFO     | 172.20.128.89:22          | sending channel input: terminal width 512; strip_prompt: True; eager: False
27    | 2024-03-03 11:47:12,441 | DEBUG    | 172.20.128.89:22          | write: 'terminal width 512'
28    | 2024-03-03 11:47:12,482 | DEBUG    | 172.20.128.89:22          | read : b'terminal width 512'
29    | 2024-03-03 11:47:12,496 | DEBUG    | 172.20.128.89:22          | write: '\n'
